Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
0	0.795107	0.619328	0.743841	0.996395	0.601279	0.499128
0	0.809862	0.625294	0.756033	1.021214	0.606343	0.499084
3	0.810636	0.614315	0.765344	1.011577	0.593286	0.479057
5	0.808190	0.628010	0.774096	1.032489	0.596858	0.457263
7	0.821466	0.615532	0.790091	1.010302	0.589099	0.441555
8	0.822578	0.598199	0.805945	1.022953	0.587849	0.461145
9	0.797942	0.622912	0.805249	1.010219	0.605923	0.443669
10	0.818850	0.628593	0.808967	1.030284	0.587828	0.434103
12	0.816312	0.631102	0.828407	1.053957	0.580021	0.413815
13	0.813111	0.628234	0.846153	1.033084	0.564500	0.398754
14	0.809586	0.610844	0.842284	1.055837	0.542736	0.389739
16	0.804062	0.623797	0.865014	1.042443	0.563233	0.376640
17	0.797359	0.616735	0.876909	1.050728	0.541012	0.362943
21	0.818874	0.633992	0.901185	1.034742	0.527219	0.352877
23	0.821718	0.621402	0.925495	1.038628	0.526993	0.341578
24	0.802513	0.643703	0.941164	1.047895	0.550107	0.342115
29	0.797191	0.622882	0.960351	1.051005	0.569081	0.333873
30	0.814825	0.617763	0.948900	1.065981	0.574281	0.311392
31	0.792125	0.634859	0.958904	1.051203	0.590208	0.318190
32	0.791324	0.629480	0.981618	1.072080	0.597917	0.328824
34	0.802050	0.623339	0.996624	1.079312	0.582941	0.312816
36	0.789023	0.630849	1.011367	1.064021	0.569295	0.318253
38	0.789600	0.633165	1.026646	1.067618	0.548400	0.328153
39	0.771966	0.625747	1.028425	1.090983	0.543486	0.322047
49	0.790291	0.604513	1.033537	1.112557	0.557456	0.304335
51	0.771309	0.622062	1.048428	1.125707	0.543604	0.286113
52	0.746788	0.628648	1.059064	1.137703	0.558016	0.262621
54	0.761244	0.652478	1.067937	1.146572	0.534325	0.244699
57	0.785098	0.636067	1.090234	1.160723	0.546812	0.262528
59	0.802650	0.638204	1.100267	1.175312	0.530504	0.237958
61	0.781971	0.642085	1.083066	1.187388	0.512400	0.220434
62	0.767479	0.662292	1.105109	1.169979	0.517568	0.195907
63	0.760387	0.645136	1.111257	1.176141	0.506679	0.188724
66	0.735782	0.644860	1.129030	1.199205	0.492203	0.184743
67	0.723034	0.640095	1.139067	1.202399	0.468936	0.208098
68	0.721709	0.638324	1.148646	1.190176	0.478254	0.202011
69	0.737829	0.662297	1.168735	1.194739	0.476560	0.205610
70	0.751119	0.679483	1.180698	1.216579	0.500037	0.186692
72	0.770370	0.661573	1.181081	1.239818	0.515132	0.179824
75	0.772569	0.655013	1.200993	1.227221	0.510318	0.186584
76	0.769973	0.667183	1.219199	1.204852	0.495877	0.172114
78	0.778054	0.646268	1.223550	1.227658	0.483500	0.149085
79	0.785256	0.663821	1.241941	1.217789	0.489328	0.132876
81	0.809210	0.656000	1.244463	1.237690	0.470973	0.140367
